Country_Code	Country	Pollutant_name	Format_name	Sector_code	Year	Emissions	Unit	Notation	VersionId	Parent_sector_code	Sector_name	Sector_label_EEA
BG	Bulgaria	As	NFR 2014-1	NATIONAL TOTAL	2003	14.1884821722232	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
BG	Bulgaria	As	NFR 2014-1	1A4ci	2002	0.004483	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: Stationary	Commercial, institutional and households
BG	Bulgaria	As	NFR 2014-1	1B2aiv	2002	0.0266271	Mg		2	NATIONAL TOTAL	Fugitive emissions oil: Refining / storage	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	2C1	2002	0.2549247336	Mg		2	NATIONAL TOTAL	Iron and steel production	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2D3g	2002	6.370571428571431e-09	Mg		2	NATIONAL TOTAL	Chemical products	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2D3i	2002	0.0	Mg		2	NATIONAL TOTAL	Other solvent use	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2G	2002	0.00117627195	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	3F	2002	2.4811043718912e-06	Mg		2	NATIONAL TOTAL	Field burning of agricultural residues	Agriculture
BG	Bulgaria	As	NFR 2014-1	5C1bi	2002	0.0011608002801964	Mg		2	NATIONAL TOTAL	Industrial waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	2D3g	2001	6.370571428571431e-09	Mg		2	NATIONAL TOTAL	Chemical products	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2D3i	2001	0.0	Mg		2	NATIONAL TOTAL	Other solvent use	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2G	2001	0.00177247637	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	3F	2001	2.44012889670528e-06	Mg		2	NATIONAL TOTAL	Field burning of agricultural residues	Agriculture
BG	Bulgaria	As	NFR 2014-1	5C1bi	2001	0.0011890963261056	Mg		2	NATIONAL TOTAL	Industrial waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	5C1biii	2001	0.0001742786211402	Mg		2	NATIONAL TOTAL	Clinical waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	5C1bv	2001	6.1245e-05	Mg		2	NATIONAL TOTAL	Cremation	Waste
BG	Bulgaria	As	NFR 2014-1	5E	2001	0.00378165	Mg		2	NATIONAL TOTAL	Other waste	Waste
BG	Bulgaria	As	NFR 2014-1	NATIONAL TOTAL	2001	6.58598413324562	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
BG	Bulgaria	As	NFR 2014-1	3F	2000	2.4903804457728e-06	Mg		2	NATIONAL TOTAL	Field burning of agricultural residues	Agriculture
BG	Bulgaria	As	NFR 2014-1	5C1bi	2000	0.0018829530739279	Mg		2	NATIONAL TOTAL	Industrial waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	5C1biii	2000	0.000177155576003	Mg		2	NATIONAL TOTAL	Clinical waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	5C1bv	2000	6.1245e-05	Mg		2	NATIONAL TOTAL	Cremation	Waste
BG	Bulgaria	As	NFR 2014-1	5E	2000	0.00477472	Mg		2	NATIONAL TOTAL	Other waste	Waste
BG	Bulgaria	As	NFR 2014-1	NATIONAL TOTAL	2000	7.48021809867183	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
BG	Bulgaria	As	NFR 2014-1	1A1a	1998	4.371955	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A1b	1998	0.234792	Mg		2	NATIONAL TOTAL	Petroleum refining	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A1c	1998	0.014315	Mg		2	NATIONAL TOTAL	Manufacture of solid fuels and other energy industries	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A2a	1998	0.666	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Iron and steel	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A2b	1998	11.52747	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-ferrous metals	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A2f	1998	0.545196	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-metallic minerals	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A1a	1997	4.380416	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A1c	1997	0.019254	Mg		2	NATIONAL TOTAL	Manufacture of solid fuels and other energy industries	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A2a	1997	1.008392	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Iron and steel	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A2b	1997	11.698329	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-ferrous metals	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A2f	1997	0.530239	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-metallic minerals	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A3bi	1997	0.0001374108665115	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
BG	Bulgaria	As	NFR 2014-1	1A2f	1991	1.349582	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-metallic minerals	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A3bi	1991	0.0001373008493926	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
BG	Bulgaria	As	NFR 2014-1	1A3bii	1991	5.12973959893348e-05	Mg		2	NATIONAL TOTAL	Road transport: Light duty vehicles	Road transport
BG	Bulgaria	As	NFR 2014-1	1A3biii	1991	2.98023479791868e-05	Mg		2	NATIONAL TOTAL	Road transport: Heavy duty vehicles and buses	Road transport
BG	Bulgaria	As	NFR 2014-1	1A3biv	1991	1.40007166226359e-05	Mg		2	NATIONAL TOTAL	Road transport: Mopeds & motorcycles	Road transport
BG	Bulgaria	As	NFR 2014-1	1A3bvi	1991	0.0038858972429975	Mg		2	NATIONAL TOTAL	Road transport: Automobile tyre and brake wear	Road transport
BG	Bulgaria	As	NFR 2014-1	1A3di(ii)	1991	0.14668	Mg		2	NATIONAL TOTAL	International inland waterways	Non-road transport
BG	Bulgaria	As	NFR 2014-1	1A3dii	1991	0.00684	Mg		2	NATIONAL TOTAL	National navigation (shipping)	Non-road transport
BG	Bulgaria	As	NFR 2014-1	1A4ai	1991	0.074708	Mg		2	NATIONAL TOTAL	Commercial/institutional: Stationary	Commercial, institutional and households
BG	Bulgaria	As	NFR 2014-1	1A4bi	1991	0.082348184835	Mg		2	NATIONAL TOTAL	Residential: Stationary	Commercial, institutional and households
